source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr
4897971912562287616,66.62771661798735,-23.550907544130933,0.3169101640571794,0.25,1.25,0.40527976,39.288017,5.5055313,0.9495066076437372,1.0291559,0.1015887910447497,221.2828879429179,-41.637016368769544,0.1015887910447497,
4868003073879628160,70.97005980324154,-34.35359773710601,-0.013196890307271225,0.45,1.45,0.36871588,27.192972,1.9638958,0.3807918160259194,0.9927108,0.039653189643024105,236.33286073257312,-40.20054119966646,0.039653189643024105,
4876774771488417280,74.36476845969499,-29.401067797393544,0.17993075300789396,0.1,1.2,0.31885168,28.249277,2.9042873,0.24420671447810463,1.0804468,0.03332800573615747,230.8378400900987,-36.42423704748962,0.03332800573615747,
4870395130145121664,64.0183133404036,-34.33786977993846,0.2505135386138173,0.5,1.45,0.47792298,43.85303,4.19804,0.246818377352741,0.98881286,0.0459731298292442,235.39228002208498,-45.89794981515763,0.0459731298292442,
4923627848164781440,1.50344412387599,-54.891488904901756,0.22546640128888384,0.7,1.45,0.5912357,57.81554,3.3064995,1.1293010378871537,1.0721205,0.043013685246369636,316.45257156789097,-61.02831566700113,0.043013685246369636,
4902511521194310016,11.261996927459633,-61.907735784058936,0.13318937015339571,-0.75,0.25,0.18953075,29.07508,2.0498314,0.030329069660454618,1.0080229,0.041319886664551435,304.2500780197519,-55.20415681284478,0.041319886664551435,
4901860472872001536,8.895004820469842,-61.7187623200124,0.2209385113354898,-0.65,0.45,0.19565032,26.893793,4.6340637,0.6612858370347768,1.0850339,0.0362037122976649,306.2313105559904,-55.307782826152724,0.0362037122976649,
4902757846158929664,14.638033828575258,-61.52426836074749,0.10525491866465764,-0.15,0.95,0.26749963,26.266748,6.4035473,2.2705498017497576,0.9966067,0.027555870756332146,301.43167421372004,-55.58325347091383,0.027555870756332146,
4910079459728791680,17.651076696947243,-58.36034931969025,0.37696499244260284,-0.2,0.55,0.37689453,55.35375,10.890423,-0.0007264120039282181,1.0381192,0.053779437647442,298.1091034977462,-58.588067010037435,0.053779437647442,
4908628963373977216,14.591718307602514,-55.5608214516264,0.223087385440226,0.2,1.4,0.32775843,26.971651,3.3075047,0.40692780188229616,0.94720405,0.05324425667524554,300.8761061234935,-61.53976191041337,0.05324425667524554,
4904765004635467648,1.962401424702435,-61.804662068114794,0.22398008103522127,-0.2,0.9,0.25940567,26.222023,2.1448383,0.4238530577067054,1.0611064,0.028898769990244638,311.7946076190877,-54.5671973778253,0.028898769990244638,
4967463109023285504,36.51355823857797,-33.05353160347887,0.26338233385488596,0.1,1.45,0.32165924,28.748953,7.908716,1.0942370268668524,1.000175,0.057597494797149686,234.85490438802628,-68.74648995281628,0.057597494797149686,
